assay_component_name	technological_target_type_sub	chnm	conc	count(*)
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1-(Bromomethyl)-3-phenoxybenzene	0.411522634	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1-(Bromomethyl)-3-phenoxybenzene	1.234567901	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1-(Bromomethyl)-3-phenoxybenzene	3.703703704	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1-(Bromomethyl)-3-phenoxybenzene	11.11111111	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1-(Bromomethyl)-3-phenoxybenzene	33.33333333	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1-(Bromomethyl)-3-phenoxybenzene	100	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1-Chloroanthraquinone	0.044	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1-Chloroanthraquinone	0.132	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1-Chloroanthraquinone	0.396296296	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1-Chloroanthraquinone	1.188888889	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1-Chloroanthraquinone	3.566666667	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1-Chloroanthraquinone	10.7	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,2-Phenylenediamine	0.041152263	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,2-Phenylenediamine	0.12345679	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,2-Phenylenediamine	0.37037037	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,2-Phenylenediamine	1.111111111	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,2-Phenylenediamine	3.333333333	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,2-Phenylenediamine	10	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,4-Benzenediamine	0.411522634	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,4-Benzenediamine	1.234567901	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,4-Benzenediamine	3.703703704	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,4-Benzenediamine	11.11111111	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,4-Benzenediamine	33.33333333	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,4-Benzenediamine	100	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,4-Diaminoanthraquinone	0.205761317	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,4-Diaminoanthraquinone	0.617283951	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,4-Diaminoanthraquinone	1.851851852	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,4-Diaminoanthraquinone	5.555555556	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,4-Diaminoanthraquinone	16.66666667	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,4-Diaminoanthraquinone	50	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,5-Naphthalenediamine	0.041111111	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,5-Naphthalenediamine	0.123333333	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,5-Naphthalenediamine	0.37	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,5-Naphthalenediamine	1.11	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,5-Naphthalenediamine	3.33	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	1,5-Naphthalenediamine	9.99	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	10-Undecenoic acid	0.411934156	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	10-Undecenoic acid	1.235802469	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	10-Undecenoic acid	3.707407407	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	10-Undecenoic acid	11.12222222	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	10-Undecenoic acid	33.36666667	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	10-Undecenoic acid	100.1	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	17alpha-Estradiol	0.041193416	3
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	17alpha-Estradiol	0.123580247	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	17alpha-Estradiol	0.370666667	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	17alpha-Estradiol	1.112222222	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	17alpha-Estradiol	3.336666667	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	17alpha-Estradiol	10.01	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	17alpha-Ethinylestradiol	0.004115226	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	17alpha-Ethinylestradiol	0.012345679	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	17alpha-Ethinylestradiol	0.037037037	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	17alpha-Ethinylestradiol	0.111111111	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	17alpha-Ethinylestradiol	0.333333333	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	17alpha-Ethinylestradiol	1	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	17beta-Estradiol	0.041	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	17beta-Estradiol	0.123333333	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	17beta-Estradiol	0.37	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	17beta-Estradiol	1.11	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	17beta-Estradiol	3.33	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	17beta-Estradiol	9.99	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-(3-Phenylpropyl)pyridine	0.411522634	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-(3-Phenylpropyl)pyridine	1.234567901	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-(3-Phenylpropyl)pyridine	3.703703704	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-(3-Phenylpropyl)pyridine	11.11111111	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-(3-Phenylpropyl)pyridine	33.33333333	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-(3-Phenylpropyl)pyridine	100	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Aminoanthraquinone	0.082304527	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Aminoanthraquinone	0.24691358	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Aminoanthraquinone	0.740740741	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Aminoanthraquinone	2.222222222	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Aminoanthraquinone	6.666666667	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Aminoanthraquinone	20	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Ethoxy-5-(1-propenyl)phenol	0.411522634	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Ethoxy-5-(1-propenyl)phenol	1.234567901	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Ethoxy-5-(1-propenyl)phenol	3.703666667	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Ethoxy-5-(1-propenyl)phenol	11.111	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Ethoxy-5-(1-propenyl)phenol	33.33333333	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Ethoxy-5-(1-propenyl)phenol	100	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Hydroxy-4-methoxybenzophenone	0.205761317	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Hydroxy-4-methoxybenzophenone	0.617283951	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Hydroxy-4-methoxybenzophenone	1.851851852	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Hydroxy-4-methoxybenzophenone	5.555555556	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Hydroxy-4-methoxybenzophenone	16.66666667	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Hydroxy-4-methoxybenzophenone	50	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Naphthalenol	0.411522634	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Naphthalenol	1.234567901	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Naphthalenol	3.703703704	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Naphthalenol	11.11111111	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Naphthalenol	33.33333333	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Naphthalenol	100	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Naphthylamine	0.411111111	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Naphthylamine	1.233333333	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Naphthylamine	3.7	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Naphthylamine	11.1	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Naphthylamine	33.3	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Naphthylamine	99.9	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Phenylphenol	0.411522634	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Phenylphenol	1.234567901	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Phenylphenol	3.703703704	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Phenylphenol	11.11111111	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Phenylphenol	33.33333333	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2-Phenylphenol	100	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane	0.082304527	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane	0.24691358	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane	0.740740741	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane	2.222222222	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane	6.666666667	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane	20	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,2'-Dibenzoylaminodiphenyl disulfide	0.082304527	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,2'-Dibenzoylaminodiphenyl disulfide	0.24691358	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,2'-Dibenzoylaminodiphenyl disulfide	0.740666667	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,2'-Dibenzoylaminodiphenyl disulfide	2.222222222	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,2'-Dibenzoylaminodiphenyl disulfide	6.666666667	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,2'-Dibenzoylaminodiphenyl disulfide	20	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4-Dichlorophenol	0.411111111	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4-Dichlorophenol	1.233333333	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4-Dichlorophenol	3.7	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4-Dichlorophenol	11.1	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4-Dichlorophenol	33.3	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4-Dichlorophenol	99.9	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4-Dimethylphenol	0.411111111	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4-Dimethylphenol	1.233333333	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4-Dimethylphenol	3.7	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4-Dimethylphenol	11.1	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4-Dimethylphenol	33.3	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4-Dimethylphenol	99.9	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4,6-Tribromophenol	0.411522634	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4,6-Tribromophenol	1.234567901	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4,6-Tribromophenol	3.703703704	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4,6-Tribromophenol	11.11111111	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4,6-Tribromophenol	33.33333333	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4,6-Tribromophenol	100	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4,6-Trichlorophenol	0.411522634	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4,6-Trichlorophenol	1.234567901	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4,6-Trichlorophenol	11.11111111	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4,6-Trichlorophenol	33.33333333	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4,6-Trichlorophenol	100	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4,6-Tris(allyloxy)-1,3,5-triazine	0.411522634	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4,6-Tris(allyloxy)-1,3,5-triazine	1.234567901	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4,6-Tris(allyloxy)-1,3,5-triazine	3.703703704	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4,6-Tris(allyloxy)-1,3,5-triazine	11.11111111	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4,6-Tris(allyloxy)-1,3,5-triazine	33.33333333	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,4,6-Tris(allyloxy)-1,3,5-triazine	100	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,6-Dinitrotoluene	0.411111111	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,6-Dinitrotoluene	1.233333333	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,6-Dinitrotoluene	3.7	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,6-Dinitrotoluene	11.1	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,6-Dinitrotoluene	33.3	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	2,6-Dinitrotoluene	99.9	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Methoxyphenol	0.411522634	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Methoxyphenol	1.234567901	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Methoxyphenol	3.703666667	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Methoxyphenol	11.111	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Methoxyphenol	33.33333333	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Methoxyphenol	100	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Methyl-4-(methylthio)phenol	0.411522634	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Methyl-4-(methylthio)phenol	1.234567901	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Methyl-4-(methylthio)phenol	3.703666667	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Methyl-4-(methylthio)phenol	11.111	3
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Methyl-4-(methylthio)phenol	33.33333333	3
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Methyl-4-(methylthio)phenol	100	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Phenoxybenzenemethanol	0.411522634	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Phenoxybenzenemethanol	1.234567901	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Phenoxybenzenemethanol	3.703703704	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Phenoxybenzenemethanol	11.11111111	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Phenoxybenzenemethanol	33.33333333	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Phenoxybenzenemethanol	100	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Phenyl-2-propen-1-ol	0.411522634	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Phenyl-2-propen-1-ol	1.234567901	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Phenyl-2-propen-1-ol	3.703703704	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Phenyl-2-propen-1-ol	11.11111111	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Phenyl-2-propen-1-ol	33.33333333	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Phenyl-2-propen-1-ol	100	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Phenylphenol	0.082304527	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Phenylphenol	0.24691358	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Phenylphenol	0.740666667	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Phenylphenol	2.222222222	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Phenylphenol	6.666666667	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3-Phenylphenol	20	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3,3'-Dichlorobenzidine dihydrochloride	0.008230453	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3,3'-Dichlorobenzidine dihydrochloride	0.024666667	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3,3'-Dichlorobenzidine dihydrochloride	0.074	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3,3'-Dichlorobenzidine dihydrochloride	0.222222222	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3,3'-Dichlorobenzidine dihydrochloride	0.666666667	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3,3'-Dichlorobenzidine dihydrochloride	2	4
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3,3'-Dimethoxybenzidine	0.411522634	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3,3'-Dimethoxybenzidine	1.234567901	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3,3'-Dimethoxybenzidine	3.703703704	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3,3'-Dimethoxybenzidine	11.11111111	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3,3'-Dimethoxybenzidine	33.33333333	2
CEETOX_H295R_OHPROG	17alpha-hydroxyprogesterone	3,3'-Dimethoxybenzidine	100	2
